,source,band,zbound,zvalue
381,../1024/data/frame_00848,B7,zmax,0.09819777549422283
382,../1024/data/frame_00848,B8,zmin,-0.005501387019714588
383,../1024/data/frame_00848,B8,zmax,0.014429460692618738
384,../1024/data/frame_00850,B3,zmin,12.662653923034668
385,../1024/data/frame_00850,B3,zmax,107.36656261295909
386,../1024/data/frame_00850,B4,zmin,49.720272064208984
387,../1024/data/frame_00850,B4,zmax,286.0301038968594
388,../1024/data/frame_00850,B5,zmin,1094.7558507061449
389,../1024/data/frame_00850,B5,zmax,3963.115901437535
390,../1024/data/frame_00850,B6,zmin,28.111154303692615
391,../1024/data/frame_00850,B6,zmax,160.05567563957376
392,../1024/data/frame_00850,B7,zmin,0.006505404525471472
393,../1024/data/frame_00850,B7,zmax,0.14470300589320814
394,../1024/data/frame_00850,B8,zmin,-0.007059521744940204
395,../1024/data/frame_00850,B8,zmax,0.051584092189718454
396,../1024/data/frame_00851,B3,zmin,12.82424259185791
397,../1024/data/frame_00851,B3,zmax,112.3628240496379
398,../1024/data/frame_00851,B4,zmin,51.25052261352539
399,../1024/data/frame_00851,B4,zmax,260.4931249447661
400,../1024/data/frame_00851,B5,zmin,1128.001411609592
401,../1024/data/frame_00851,B5,zmax,3665.1834621937114
402,../1024/data/frame_00851,B6,zmin,28.378939313892786
403,../1024/data/frame_00851,B6,zmax,161.6764980246714
404,../1024/data/frame_00851,B7,zmin,0.007624627104519031
405,../1024/data/frame_00851,B7,zmax,0.13829308591848055
406,../1024/data/frame_00851,B8,zmin,-0.006752435645833484
407,../1024/data/frame_00851,B8,zmax,0.049742798297907696
408,../1024/data/frame_00852,B3,zmin,6.797659873962402
409,../1024/data/frame_00852,B3,zmax,108.11278981091961
410,../1024/data/frame_00852,B4,zmin,24.09296417236328
411,../1024/data/frame_00852,B4,zmax,293.2537632345672
412,../1024/data/frame_00852,B5,zmin,771.9341778420372
413,../1024/data/frame_00852,B5,zmax,3673.3368843673725
414,../1024/data/frame_00852,B6,zmin,17.205584875830613
